,Unnamed: 0,team_name,date,points
3,3,Boston Celtics,2018-10-16,105
44,44,Boston Celtics,2018-10-19,101
56,56,Boston Celtics,2018-10-20,103
83,83,Boston Celtics,2018-10-22,90
131,131,Boston Celtics,2018-10-25,101
152,152,Boston Celtics,2018-10-27,109
191,191,Boston Celtics,2018-10-30,108
222,222,Boston Celtics,2018-11-01,117
257,257,Boston Celtics,2018-11-03,101
293,293,Boston Celtics,2018-11-05,107
327,327,Boston Celtics,2018-11-08,116
340,340,Boston Celtics,2018-11-09,115
375,375,Boston Celtics,2018-11-11,94
406,406,Boston Celtics,2018-11-14,111
433,433,Boston Celtics,2018-11-16,123
451,451,Boston Celtics,2018-11-17,86
489,489,Boston Celtics,2018-11-19,112
511,511,Boston Celtics,2018-11-21,109
546,546,Boston Celtics,2018-11-23,114
560,560,Boston Celtics,2018-11-24,104
599,599,Boston Celtics,2018-11-26,124
644,644,Boston Celtics,2018-11-30,128
668,668,Boston Celtics,2018-12-01,118
729,729,Boston Celtics,2018-12-06,128
755,755,Boston Celtics,2018-12-08,133
790,790,Boston Celtics,2018-12-10,113
824,824,Boston Celtics,2018-12-12,130
840,840,Boston Celtics,2018-12-14,129
862,862,Boston Celtics,2018-12-15,104
913,913,Boston Celtics,2018-12-19,103
944,944,Boston Celtics,2018-12-21,107
974,974,Boston Celtics,2018-12-23,119
997,997,Boston Celtics,2018-12-25,121
1025,1025,Boston Celtics,2018-12-27,113
1066,1066,Boston Celtics,2018-12-29,112
1082,1082,Boston Celtics,2018-12-31,111
1112,1112,Boston Celtics,2019-01-02,115
1136,1136,Boston Celtics,2019-01-04,114
1180,1180,Boston Celtics,2019-01-07,116
1214,1214,Boston Celtics,2019-01-09,135
1235,1235,Boston Celtics,2019-01-10,99
1260,1260,Boston Celtics,2019-01-12,103
1291,1291,Boston Celtics,2019-01-14,102
1314,1314,Boston Celtics,2019-01-16,117
1341,1341,Boston Celtics,2019-01-18,122
1367,1367,Boston Celtics,2019-01-19,113
1386,1386,Boston Celtics,2019-01-21,107
1416,1416,Boston Celtics,2019-01-23,123
1458,1458,Boston Celtics,2019-01-26,111
1487,1487,Boston Celtics,2019-01-28,112
1512,1512,Boston Celtics,2019-01-30,126
1539,1539,Boston Celtics,2019-02-01,113
1574,1574,Boston Celtics,2019-02-03,134
1595,1595,Boston Celtics,2019-02-05,103
1620,1620,Boston Celtics,2019-02-07,128
1652,1652,Boston Celtics,2019-02-09,112
1694,1694,Boston Celtics,2019-02-12,112
1708,1708,Boston Celtics,2019-02-13,118
1742,1742,Boston Celtics,2019-02-21,97
1766,1766,Boston Celtics,2019-02-23,116
1818,1818,Boston Celtics,2019-02-26,95
1824,1824,Boston Celtics,2019-02-27,92
1858,1858,Boston Celtics,2019-03-01,107
1888,1888,Boston Celtics,2019-03-03,104
1918,1918,Boston Celtics,2019-03-05,128
1941,1941,Boston Celtics,2019-03-06,111
1970,1970,Boston Celtics,2019-03-09,120
2006,2006,Boston Celtics,2019-03-11,115
2039,2039,Boston Celtics,2019-03-14,126
2068,2068,Boston Celtics,2019-03-16,129
2101,2101,Boston Celtics,2019-03-18,105
2129,2129,Boston Celtics,2019-03-20,115
2182,2182,Boston Celtics,2019-03-23,117
2195,2195,Boston Celtics,2019-03-24,96
2215,2215,Boston Celtics,2019-03-26,116
2261,2261,Boston Celtics,2019-03-29,114
2276,2276,Boston Celtics,2019-03-30,96
2306,2306,Boston Celtics,2019-04-01,110
2337,2337,Boston Celtics,2019-04-03,112
2367,2367,Boston Celtics,2019-04-05,117
2396,2396,Boston Celtics,2019-04-07,108
2432,2432,Boston Celtics,2019-04-09,116
